Location,NTDs,Poisoning,Tobacco,Tuberculosis,Under5Mortality,DrinkingWater,AdBirthRate,Alcohol,BasicSanitization,CancerEtc,MedDocs,HALE,HIV,InfantMortality,LifeExpectancy,Malaria,MidwifeNursing,MaternalMortality,NeonatalMortality
Dominican Republic,989731,0.38,10.5,55 [42-69],31.29 [24.36-40.51],89.36,,6.61,83.18,19.1,,63.21,0.29 [0.2-0.39],26 [20.62-32.79],71.75,0.14,14.55,94 [89-100],21.41 [16.32-28.08]
Ecuador,1943932,0.65,,39 [30-50],15.1 [14.32-15.91],81.88,,4.98,86.1,13.4,20.65,67.49,0.17 [0.11-0.32],12.99 [12.32-13.68],77.18,1.31,25.12,63 [58-69],7.89 [7.33-8.52]
Egypt,1640557,0.22,21.3,15 [13-16],23.4 [18.78-29.48],98.57,,0.4,93.97,28.2,8.22,62.0,0.03 [0.02-0.04],19.86 [16.08-24.62],70.49,0.0,19.41,39 [30-48],12.85 [10.12-16.42]
El Salvador,702992,0.23,13.6,48 [37-61],15.3 [11.03-21.3],89.25,,3.59,87.01,14.1,,63.46,0.18 [0.15-0.24],13.16 [9.48-18.16],73.25,0.002,17.58,48 [39-58],7.6 [5.29-11.03]
Equatorial Guinea,466357,2.01,,172 [150-194],93.99 [63.44-134.6],30.78,,9.08,66.18,22.0,,52.9,4.16 [2.64-6.22],68.14 [48.64-93.86],61.13,339.5,,296 [181-488],31.59 [18.56-49.56]
Eritrea,1441264,4.39,7.9,102 [47-178],46.31 [32.51-66.05],27.8,,1.42,11.84,24.2,,54.1,0.14 [0.08-0.24],33.99 [25.33-45.29],62.29,19.2,11.85,518 [363-752],19.4 [13.09-28.76]
Estonia,12,0.49,32.1,18 [15-21],3.15 [2.89-3.43],99.19,12.5,12.39,99.13,16.9,34.15,68.26,No data,2.46 [2.26-2.68],77.6,,63.52,10 [7-15],1.42 [1.24-1.6]
Eswatini,331005,3.35,10.8,648 [408-943],59.23 [44.58-77.94],59.37,,9.84,57.87,26.6,,46.91,11.31 [10.05-12.49],45.85 [35.66-58.22],54.05,0.51,36.01,435 [260-758],19.64 [13.75-27.41]
Ethiopia,75106161,2.97,4.9,192 [142-250],62.23 [55.23-70.2],29.11,,2.19,6.86,18.4,,58.32,0.21 [0.11-0.37],43.14 [39.14-47.61],66.82,52.77,,446 [339-607],31.76 [27.71-36.53]
Fiji,898821,0.45,27.4,52 [40-66],24.31 [22.96-25.7],88.84,,3.33,94.54,30.8,8.6,59.58,0.11 [0.06-0.25],20.58 [19.51-21.68],67.83,,30.18,35 [29-43],9.93 [8.69-11.24]
Finland,2,0.23,20.9,5.6 [4.8-6.5],2.49 [2.35-2.63],100.0,6.2,11.18,99.45,10.5,33.31,70.73,No data,2.03 [1.92-2.15],81.21,,8.7,3 [2-4],1.4 [1.3-1.5]
France,222,0.47,34.5,8.4 [7.4-9.5],4.12 [4.03-4.21],100.0,5.6,12.64,98.65,10.8,32.24,71.7,0.1 [0.08-0.12],3.47 [3.39-3.54],81.91,,106.0,8 [7-10],2.41 [2.32-2.49]
Gabon,1560166,0.97,,537 [348-767],49.83 [35.3-68.94],55.05,,9.57,47.32,14.8,,56.29,1.15 [0.66-1.73],35.78 [26.84-46.51],64.93,284.4,,261 [176-408],22.21 [15.19-31.74]
Gambia,171850,1.96,15.3,173 [128-223],60.04 [52.36-68.44],63.37,,3.67,39.01,20.6,1.02,55.83,1.1 [0.77-1.52],39.8 [36.2-43.55],64.14,195.0,15.45,625 [471-821],29.89 [25.09-35.55]
Georgia,65,0.81,30.4,99 [80-120],10.52 [9.84-11.22],95.26,48.6,9.61,90.49,24.9,50.06,64.2,No data,9.36 [8.76-9.99],72.58,0.0,40.17,27 [24-31],6.69 [6.15-7.26]
Germany,867,0.14,28.9,7.3 [6.9-7.7],3.93 [3.85-4],100.0,7.8,13.06,99.22,12.5,41.34,70.07,No data,3.3 [3.24-3.36],80.42,,129.1,5 [4-6],2.3 [2.23-2.37]
Ghana,15536903,1.65,4.0,160 [77-273],54.56 [48.55-61.02],66.04,76.0,3.12,17.15,20.9,,56.49,0.8 [0.49-1.23],38.75 [35.28-42.46],64.55,277.2,20.02,320 [237-429],25.84 [22.67-29.44]
Greece,81,0.24,40.6,4.7 [4-5.5],4.4 [4.22-4.61],100.0,8.4,10.49,98.98,12.3,52.53,70.43,No data,3.88 [3.71-4.06],80.38,,35.01,3 [2-4],2.66 [2.51-2.81]
Grenada,25,0.34,,5.2 [4.5-6.1],16.21 [14.48-18.11],95.63,,9.07,91.49,21.7,,63.85,,14.25 [12.72-15.92],72.7,,,25 [16-38],10.66 [9.34-12.12]
Guatemala,3321447,1.17,,26 [20-32],28.28 [24.2-33.08],88.97,81.2,2.55,64.98,14.9,,61.48,0.09 [0.06-0.13],23.68 [20.5-27.35],70.95,0.65,0.54,103 [97-109],14.02 [11.65-16.82]
Guinea,7973039,3.08,,177 [114-252],107.9 [95.42-122.5],49.72,132.6,1.07,21.06,22.6,0.86,51.51,0.57 [0.44-0.73],68.72 [61.74-76.87],58.81,356.6,4.17,699 [539-915],31.9 [26.73-38.16]
Guinea-Bissau,1731541,2.2,,361 [234-516],90.68 [64.32-123.1],52.76,,5.05,19.82,19.8,2.04,50.92,1.51 [1.25-1.77],59.23 [44.32-77.47],58.23,79.77,5.55,694 [484-1000],38.45 [26.48-53.94]
Guyana,747901,0.72,13.8,93 [71-118],33.1 [23.09-47.77],100.0,,7.35,85.35,30.6,,57.17,0.51 [0.41-0.64],27.37 [19.62-37.93],65.59,23.49,6.97,172 [138-214],20.5 [13.88-30.25]
Haiti,9831829,2.69,8.8,194 [154-238],70.51 [59.7-84.95],42.42,54.8,2.69,32.5,26.7,0.85,54.59,0.69 [0.55-0.85],53.21 [46.13-62.39],62.61,3.44,2.82,488 [359-671],27.13 [21.54-34.49]
Honduras,2399777,0.39,,40 [31-50],19.27 [14.71-25.09],87.31,,3.49,79.22,14.0,,61.33,0.13 [0.09-0.17],16.49 [12.66-21.2],69.82,0.59,6.7,67 [60-74],10.52 [7.76-14.3]
Hungary,14,0.29,31.9,10 [8.6-12],5.12 [4.91-5.34],100.0,22.8,11.6,98.0,23.3,31.18,66.6,No data,4.27 [4.1-4.45],75.57,,66.85,12 [9-16],2.73 [2.58-2.89]
Iceland,0,0.21,15.7,2.4 [2.1-2.8],2.23 [1.89-2.63],100.0,8.0,8.74,98.78,9.3,37.83,71.9,No data,1.76 [1.49-2.08],82.14,,163.1,4 [2-6],1.13 [0.93-1.39]
India,668000000,2.45,29.6,217 [137-315],43.52 [41.06-46.04],88.9,11.1,5.54,54.35,23.5,,59.14,No data,34.94 [33.19-36.73],69.31,9.67,14.51,158 [131-189],25.87 [24.14-27.68]
