Location,NTDs,Poisoning,Tobacco,Tuberculosis,Under5Mortality,DrinkingWater,Alcohol,BasicSanitization,CancerEtc,HALE,InfantMortality,LifeExpectancy,MaternalMortality,NeonatalMortality,BMI30Plus
Malawi,11426323,2.08,14.3,197.0,53.76,63.31,3.62,25.58,16.3,54.89,37.31,63.04,370.0,22.82,5.5
Malaysia,174457,0.49,22.8,90.0,8.05,89.93,0.85,99.56,17.3,65.78,6.89,74.95,30.0,4.2,14.9
Maldives,1892,0.046,,42.0,10.15,98.25,2.07,99.05,13.9,69.11,8.7,78.41,54.0,5.87,8.1
Mali,18291866,3.34,12.1,57.0,108.6,64.59,1.25,36.18,24.8,52.98,66.95,60.89,620.0,34.76,8.2
Malta,1,0.12,26.4,8.5,7.01,100.0,7.56,99.96,10.8,71.32,6.11,81.65,7.0,4.7,28.5
Marshall Islands,28996,,,300.0,35.68,83.36,,82.97,,,29.29,,,16.61,52.4
Mauritania,690268,1.93,,107.0,82.71,46.69,0.033,43.5,18.0,58.95,55.03,67.41,785.0,34.83,12.3
Mauritius,0,0.11,28.0,13.0,14.49,99.83,3.94,95.51,22.8,64.03,12.75,74.14,73.0,9.06,10.5
Mexico,9923501,0.45,15.2,22.0,16.2,94.26,4.92,89.42,15.9,65.76,13.93,75.87,36.0,8.3,28.3
Micronesia (Federated States of),72590,1.01,,119.0,33.66,78.57,2.44,88.31,26.5,55.8,27.79,62.74,95.0,17.3,45.1
Monaco,0,,,0.0,3.52,100.0,,100.0,,,2.87,,,1.95,No data
Mongolia,43,1.61,29.0,428.0,20.23,52.86,10.97,57.98,30.4,59.85,17.28,67.61,47.0,9.6,19.9
Montenegro,5,0.52,,15.0,3.56,95.91,10.92,97.73,20.9,66.64,3.13,75.27,6.0,2.1,22.8
Morocco,2917,0.58,15.9,102.0,25.27,67.69,0.7,87.54,12.5,63.29,21.69,72.46,74.0,16.13,25.4
Mozambique,23150013,3.03,16.0,361.0,85.43,35.54,2.19,26.87,18.4,48.6,61.55,55.95,318.0,30.89,6.9
Myanmar,41292086,1.42,47.8,391.0,51.77,74.82,4.41,65.09,24.3,59.56,40.72,67.58,246.0,24.76,5.4
Namibia,1073269,1.64,18.6,639.0,47.84,68.89,5.23,33.9,21.6,54.57,33.34,62.87,217.0,20.25,16.7
Nauru,2822,,54.7,111.0,34.87,99.48,3.71,65.6,,,28.7,,,22.02,60.7
Nepal,18850311,0.48,35.7,268.0,36.22,87.48,2.05,55.74,22.2,60.17,29.68,69.43,236.0,22.43,3.9
Netherlands,64,0.1,24.7,5.8,4.05,100.0,9.55,97.74,11.3,71.12,3.44,81.28,6.0,2.63,20.0
New Zealand,3,0.19,16.6,7.3,5.45,100.0,10.44,100.0,10.4,69.89,4.53,81.31,10.0,3.13,30.2
Nicaragua,933780,0.57,,50.0,19.43,59.5,5.03,73.39,14.4,65.16,16.62,74.62,101.0,11.94,23.1
Niger,15779050,4.21,8.4,95.0,94.02,41.6,0.55,12.75,20.2,54.14,51.87,61.54,555.0,26.53,5.2
Nigeria,141000000,2.98,5.1,219.0,126.8,53.11,10.81,37.68,22.5,53.13,79.52,61.16,931.0,37.14,8.5
Niue,0,,,0.0,26.39,98.2,10.28,96.77,,,22.22,,,14.18,49.2
Norway,100,0.18,21.2,6.3,2.72,100.0,7.52,98.06,9.3,71.23,2.21,82.01,3.0,1.59,22.6
Oman,5,0.47,9.6,8.8,11.21,77.9,0.77,100.0,18.1,63.75,9.64,72.52,19.0,5.18,26.3
Pakistan,31056287,2.35,22.3,270.0,76.05,88.84,0.29,56.64,24.8,55.78,62.12,64.18,154.0,45.22,8.2
Palau,15,,25.1,91.0,19.72,100.0,,100.0,,,17.86,,,10.65,54.8
Panama,437597,0.39,7.9,52.0,16.93,90.52,7.71,81.14,13.2,68.28,14.55,78.72,58.0,9.8,22.2
Papua New Guinea,6425746,1.78,,432.0,50.51,33.38,1.39,14.13,29.9,56.42,39.85,64.49,151.0,23.71,20.7
Paraguay,795686,0.36,14.6,40.0,22.21,94.27,7.26,87.67,17.7,65.63,18.92,75.56,88.0,12.41,19.8
Peru,2831613,0.92,11.7,122.0,15.67,72.73,6.63,73.34,12.8,68.85,12.17,79.08,94.0,7.57,19.3
