"","Location","NTDs","Poisoning","Tuberculosis","Under5Mortality","DrinkingWater","Alcohol","BasicSanitization","CancerEtc","HALE","InfantMortality","LifeExpectancy","MaternalMortality","NeonatalMortality"
"83","Japan",11,0.41,16,2.75,98.93,7.87,99.91,8.6,73.62,2.01,83.62,5,0.92
"84","Jordan",70,0.63,5.7,17.61,97.78,0.69,97.53,19.4,67.59,15.12,77.82,48,10.36
"85","Kazakhstan",25,2.56,81,11.82,89.76,4.66,97.74,28.6,63.35,10.54,71.91,12,5.55
"86","Kenya",13642040,1.82,380,49.59,48.18,2.77,29.55,13.3,56.08,35.32,64.17,353,22.71
"87","Kiribati",33294,2.59,559,57.4,69.08,0.52,45.36,28.5,51.62,44.58,58.2,97,23.83
"88","Kuwait",0,0.19,22,8.71,100,0.003,100,17.6,70.23,7.46,81.13,11,4.91
"89","Kyrgyzstan",111901,0.69,136,22.33,81.39,7.59,96.54,26.2,63.74,19.89,71.59,66,14.69
"90","Lao People's Democratic Republic",2183066,0.92,182,53.61,71.11,10.05,69.39,27.1,59.29,41.99,67.08,209,24.44
"91","Latvia",14,0.85,40,4.97,97.88,12.64,91.42,22.2,65.76,4.22,74.8,23,2.59
"92","Lebanon",6,0.3,12,8.28,92.26,1.65,95.36,17.9,65.67,7.08,75.98,29,4.81
"93","Lesotho",523534,3.16,780,94.06,59.79,4.8,39.06,26.6,41.64,71.88,47.67,574,43.39
"94","Liberia",3812536,1.81,308,90.96,60.81,5.7,16.69,17.2,52.47,66.12,61.17,691,33.03
"95","Libya",1640,0.51,40,13.32,97.64,0.029,99.86,19.7,64.35,11.41,74.6,70,7.49
"96","Lithuania",42,0.77,55,4.94,90.72,15.38,92.27,22.2,65.28,4.02,74.38,9,2.33
"97","Luxembourg",0,0.1,6.1,2.9,100,13.18,97.61,9.6,71.53,2.37,82.31,5,1.53
"98","Madagascar",21298533,3.33,233,57.87,34.78,1.88,9.74,23.1,56.3,40.66,64.19,363,21.81
"99","Malawi",11426323,2.08,197,53.76,63.31,3.62,25.58,16.3,54.89,37.31,63.04,370,22.82
"100","Malaysia",174457,0.49,90,8.05,89.93,0.85,99.56,17.3,65.78,6.89,74.95,30,4.2
"101","Maldives",1892,0.046,42,10.15,98.25,2.07,99.05,13.9,69.11,8.7,78.41,54,5.87
"102","Mali",18291866,3.34,57,108.6,64.59,1.25,36.18,24.8,52.98,66.95,60.89,620,34.76
"103","Malta",1,0.12,8.5,7.01,100,7.56,99.96,10.8,71.32,6.11,81.65,7,4.7
"104","Mauritania",690268,1.93,107,82.71,46.69,0.033,43.5,18,58.95,55.03,67.41,785,34.83
"105","Mauritius",0,0.11,13,14.49,99.83,3.94,95.51,22.8,64.03,12.75,74.14,73,9.06
"106","Mexico",9923501,0.45,22,16.2,94.26,4.92,89.42,15.9,65.76,13.93,75.87,36,8.3
"107","Micronesia (Federated States of)",72590,1.01,119,33.66,78.57,2.44,88.31,26.5,55.8,27.79,62.74,95,17.3
"108","Mongolia",43,1.61,428,20.23,52.86,10.97,57.98,30.4,59.85,17.28,67.61,47,9.6
"109","Montenegro",5,0.52,15,3.56,95.91,10.92,97.73,20.9,66.64,3.13,75.27,6,2.1
"110","Morocco",2917,0.58,102,25.27,67.69,0.7,87.54,12.5,63.29,21.69,72.46,74,16.13
"111","Mozambique",23150013,3.03,361,85.43,35.54,2.19,26.87,18.4,48.6,61.55,55.95,318,30.89
"112","Myanmar",41292086,1.42,391,51.77,74.82,4.41,65.09,24.3,59.56,40.72,67.58,246,24.76
"113","Namibia",1073269,1.64,639,47.84,68.89,5.23,33.9,21.6,54.57,33.34,62.87,217,20.25
"114","Nepal",18850311,0.48,268,36.22,87.48,2.05,55.74,22.2,60.17,29.68,69.43,236,22.43
"115","Netherlands",64,0.1,5.8,4.05,100,9.55,97.74,11.3,71.12,3.44,81.28,6,2.63
"116","New Zealand",3,0.19,7.3,5.45,100,10.44,100,10.4,69.89,4.53,81.31,10,3.13
"117","Nicaragua",933780,0.57,50,19.43,59.5,5.03,73.39,14.4,65.16,16.62,74.62,101,11.94
"118","Niger",15779050,4.21,95,94.02,41.6,0.55,12.75,20.2,54.14,51.87,61.54,555,26.53
"119","Nigeria",141000000,2.98,219,126.8,53.11,10.81,37.68,22.5,53.13,79.52,61.16,931,37.14
"120","Norway",100,0.18,6.3,2.72,100,7.52,98.06,9.3,71.23,2.21,82.01,3,1.59
"121","Oman",5,0.47,8.8,11.21,77.9,0.77,100,18.1,63.75,9.64,72.52,19,5.18
"122","Pakistan",31056287,2.35,270,76.05,88.84,0.29,56.64,24.8,55.78,62.12,64.18,154,45.22
"123","Panama",437597,0.39,52,16.93,90.52,7.71,81.14,13.2,68.28,14.55,78.72,58,9.8
"124","Papua New Guinea",6425746,1.78,432,50.51,33.38,1.39,14.13,29.9,56.42,39.85,64.49,151,23.71
"125","Paraguay",795686,0.36,40,22.21,94.27,7.26,87.67,17.7,65.63,18.92,75.56,88,12.41
"126","Peru",2831613,0.92,122,15.67,72.73,6.63,73.34,12.8,68.85,12.17,79.08,94,7.57
"127","Philippines",43430927,0.25,550,29.83,88.68,6.7,74.26,26.9,61.91,23.48,70.3,127,14.42
"128","Poland",59,0.26,19,4.85,98.15,11.63,97.69,19.3,68.03,4.17,77.29,2,2.9
"129","Portugal",20,0.26,23,3.62,100,11.88,99.44,11.2,70.49,2.96,80.89,9,2.1
"130","Qatar",26,0.43,24,7.83,99.69,1.62,100,15.4,66.44,6.7,76.41,9,3.97
"131","Republic of Korea",257,0.53,79,3.51,99.56,10.04,100,8.3,72.03,3,82.2,12,1.63
"132","Republic of Moldova",0,1.22,102,15.61,82.08,11.87,75.35,27.5,62.86,13.43,71.13,22,11.61
"133","The former Yugoslav Republic of Macedonia",4,0.36,17,12.97,90.58,5.93,98.14,20.7,65.33,11.38,73.73,8,9.59
"134","Romania",26,0.4,82,9.13,100,11.64,82.81,21.5,66.28,7.64,74.82,21,4.29
"135","Russian Federation",6,1.78,67,8.23,91.65,12.47,89.64,25.9,62.67,7.05,71.3,18,3.87
"136","Rwanda",5065110,2.51,61,41.49,51.22,9.26,64.24,18.3,58.87,30.88,67.69,275,17.86
"137","Saint Lucia",33729,0.18,9,20.95,97.82,9.97,88.37,19,65.25,18.6,75.01,115,12.61
"138","Saint Vincent and the Grenadines",13,0.17,7.4,16.76,95.15,8.46,87.18,22.3,63.51,15.22,72.47,64,10.58
"139","Samoa",61325,0.5,11,16.87,96.25,2.59,98.07,20.9,61.9,14.5,70.04,45,9.28
"140","Sao Tome and Principe",199686,0.89,156,34.69,75.72,7.19,41.36,18.6,60.95,26.75,69.6,130,15.69
"141","Saudi Arabia",1496,0.66,12,8.43,99.69,0.2,99.8,16.5,63.2,7.22,73.15,17,4.69
"142","Senegal",11849373,2.38,123,52.78,66.61,0.73,50.09,18.4,58.17,36.4,67.2,346,23.96
"143","Serbia",0,0.35,21,6.28,84.09,8.7,97.64,20.1,66.44,5.47,75.21,13,3.95
"144","Seychelles",0,0.59,9.7,14.76,96.25,18.35,100,21.3,63.98,12.7,73.2,54,8.98
"145","Sierra Leone",7500446,4.15,307,138.3,46.9,5.63,14.94,30,49.7,94.17,56.94,1180,34.28
"146","Singapore",10473,0.083,45,2.72,100,2.07,100,10,73.2,2.18,82.81,9,1
"147","Slovakia",7,0.37,6.5,6.22,100,11.53,97.93,17.7,67.64,5.09,77.01,6,3.06
"148","Slovenia",10,0.32,7.2,2.5,99.4,12.74,99.11,13.1,70.04,2.01,80.47,7,1.37
"149","Solomon Islands",534850,0.96,86,22.3,63.01,1.55,31.84,24.4,57.4,18.99,64.74,112,9.35
"150","Somalia",5015936,4.75,274,132.7,26.53,0.013,35.7,21.9,48.09,82.77,54.57,855,39.56
"151","South Africa",6696701,1.29,988,37.07,78.97,9.61,73.89,26.6,54.11,28.5,62.57,125,11.04
"152","Spain",299,0.22,9.9,3.3,100,11.32,99.9,10.1,71.56,2.74,82.33,4,1.93
"153","Sri Lanka",33253,0.42,65,8.74,86.36,4.1,94.43,17.6,66.55,7.48,76.27,36,5.25
"154","Sudan",26533962,4.08,88,65.91,51.71,0.52,35.07,26,58.89,45.21,67.94,320,29.4
"155","Suriname",56918,0.38,32,20.22,87.35,5.81,83.83,21.8,63.18,18.05,72.6,122,12.72
"156","Sweden",185,0.41,9.2,2.87,100,9.13,99.3,9.3,71.43,2.33,81.75,4,1.59
"157","Switzerland",0,0.099,7.4,4.31,100,11.58,99.89,8.7,71.75,3.78,82.61,5,2.99
"158","Syrian Arab Republic",50998,0.37,20,23.18,94.57,0.28,91.56,21.8,56.34,17.76,64.4,30,10.48
"159","Tajikistan",123178,1.21,86,37.75,71.69,3.11,96.13,25.4,61.43,32.86,68.66,18,16.21
"160","Thailand",145146,0.41,163,10.8,99.02,8.36,97.96,14.6,68.02,9.27,77.41,38,6.34
"161","Timor-Leste",1170044,0.44,498,50.76,65.32,2.01,51.32,19.9,60.34,43.24,68.87,160,21.43
