Location,NTDs,Poisoning,Tobacco,Tuberculosis,Under5Mortality,DrinkingWater,AdBirthRate,Alcohol,BasicSanitization,CancerEtc,MedDocs,HALE,HIV,InfantMortality,LifeExpectancy,Malaria,MidwifeNursing,MaternalMortality,NeonatalMortality
Nepal,18850311,0.48,35.7,268,36.22,87.48,88.2,2.05,55.74,22.2,,60.17,0.04,29.68,69.43,0.57,,236,22.43
Netherlands,64,0.1,24.7,5.8,4.05,100,3.2,9.55,97.74,11.3,34.92,71.12,0.04,3.44,81.28,,107.5,6,2.63
New Zealand,3,0.19,16.6,7.3,5.45,100,18.5,10.44,100,10.4,32.96,69.89,0.03,4.53,81.31,,119.9,10,3.13
Nicaragua,933780,0.57,,50,19.43,59.5,,5.03,73.39,14.4,9.31,65.16,0.08,16.62,74.62,1.06,13.67,101,11.94
Niger,15779050,4.21,8.4,95,94.02,41.6,146,0.55,12.75,20.2,0.47,54.14,0.07,51.87,61.54,369.8,2.04,555,26.53
Nigeria,141000000,2.98,5.1,219,126.8,53.11,120,10.81,37.68,22.5,,53.13,0.57,79.52,61.16,296.1,,931,37.14
Niue,0,,,0,26.39,98.2,,10.28,96.77,,,,,22.22,,,,,14.18
Norway,100,0.18,21.2,6.3,2.72,100,4.6,7.52,98.06,9.3,26.47,71.23,No data,2.21,82.01,,178.6,3,1.59
Oman,5,0.47,9.6,8.8,11.21,77.9,14.5,0.77,100,18.1,20.89,63.75,0.04,9.64,72.52,0,45.3,19,5.18
Pakistan,31056287,2.35,22.3,270,76.05,88.84,47,0.29,56.64,24.8,9.26,55.78,0.1,62.12,64.18,5.06,4.75,154,45.22
Palau,15,,25.1,91,19.72,100,27,,100,,,,,17.86,,,,,10.65
Panama,437597,0.39,7.9,52,16.93,90.52,84.3,7.71,81.14,13.2,,68.28,No data,14.55,78.72,0.15,27.62,58,9.8
Papua New Guinea,6425746,1.78,,432,50.51,33.38,,1.39,14.13,29.9,,56.42,0.39,39.85,64.49,131.5,,151,23.71
Paraguay,795686,0.36,14.6,40,22.21,94.27,72,7.26,87.67,17.7,,65.63,0.18,18.92,75.56,0,6.67,88,12.41
Peru,2831613,0.92,11.7,122,15.67,72.73,60,6.63,73.34,12.8,,68.85,0.13,12.17,79.08,7.85,20.66,94,7.57
Philippines,43430927,0.25,25.8,550,29.83,88.68,,6.7,74.26,26.9,,61.91,0.1,23.48,70.3,0.47,,127,14.42
