Location,GDP_currentUSD,HealthExpGDPperc,HALE,LifeExpectancy,NeonatalMortality
Samoa,788307330.6,5.6747098,61.9,70.04,9.28
San Marino,1419394771,7.27498674,,,0.93
Sao Tome and Principe,316065369.9,5.34009647,60.95,69.6,15.69
Saudi Arabia,6.54E+11,5.99834013,63.2,73.15,4.69
Senegal,17774766636,4.38257313,58.17,67.2,23.96
Serbia,39655958843,8.81929588,66.44,75.21,3.95
Seychelles,1377495054,4.58823824,63.98,73.2,8.98
Sierra Leone,4218723875,20.41341209,49.7,56.94,34.28
Singapore,3.08E+11,4.18069839,73.2,82.81,1
Slovakia,88467555244,6.79333973,67.64,77.01,3.06
Slovenia,43090173395,8.49823952,70.04,80.47,1.37
Solomon Islands,1307061544,5.19329929,57.4,64.74,9.35
Somalia,4048860871,,48.09,54.57,39.56
South Africa,3.18E+11,8.20090294,54.11,62.57,11.04
South Sudan,11997800760,,53.02,61.99,38.91
Spain,1.20E+12,9.12686825,71.56,82.33,1.93
Sri Lanka,80604080689,3.88992047,66.55,76.27,5.25
Sudan,74294508240,7.18615294,58.89,67.94,29.4
Suriname,4787367928,6.21926689,63.18,72.6,12.72
Sweden,5.05E+11,10.79714203,71.43,81.75,1.59
Switzerland,6.80E+11,11.36931515,71.75,82.61,2.99
Syrian Arab Republic,,,56.34,64.4,10.48
Tajikistan,7854602392,6.9073596,61.43,68.66,16.21
Thailand,4.01E+11,3.66789317,68.02,77.41,6.34
Timor-Leste,1594410800,3.95390606,60.34,68.87,21.43
Togo,4180866177,6.24938154,54.21,61.92,26.66
Tonga,437006227.2,4.57615185,63.93,72.33,7.5
Trinidad and Tobago,25062893969,6.03951168,65.19,74.61,13.08
Tunisia,43173480832,7.00741243,66.75,76.7,12.06
Turkey,8.64E+11,4.11690378,67.72,77.79,6.34
Turkmenistan,35799714286,6.29793644,61.73,69.11,23.06
Tuvalu,35492074.22,16.69959259,,,18.33
Uganda,32248116584,6.78750038,56.29,64.47,22.31
Ukraine,91030959455,7.77607775,63.79,72.2,5.67
United Arab Emirates,3.58E+11,3.58359146,65.45,75.31,4.2
United Kingdom of Great Britain and Northern Ireland,2.93E+12,9.90435219,69.67,80.65,2.73
United Republic of Tanzania,47378599025,3.64969921,56.74,65.36,22.1
United States of America,1.82E+13,16.71075249,66.56,78.56,3.9
Uruguay,53274304222,9.00821114,67.54,77.03,5
Uzbekistan,81847410182,4.9875989,63.46,71.45,12.98
Vanuatu,759689950.9,4.15773726,57.36,64.64,12.67
Venezuela (Bolivarian Republic of),,5.79743814,65.1,74.66,14.45
Viet Nam,1.93E+11,5.65262079,64.89,73.16,11.37
Yemen,42450620876,4.88250208,58.38,67.47,26.65
Zambia,21243339048,4.43510246,52.71,60.5,24.53
Zimbabwe,19963120600,7.45206642,51.17,58.48,27.89
,,,,,
